RunDate,Ticker,AdjClose,SMA200,PctBelow
2026-03-05,AMS.MC,52.939998626708984,64.73197620391846,-18.21661915598317
2026-03-05,TEF.MC,3.6449999809265137,3.990239349603653,-8.652096739796612
2026-03-05,GRF.MC,10.524999618530273,11.23811372280121,-6.345496422803465
2026-03-05,RED.MC,15.050000190734863,16.0114612531662,-6.00483021024213
2026-03-05,ANE.MC,20.84000015258789,22.148185205459594,-5.906511259212477
2026-03-05,FDR.MC,22.139999389648438,23.224190645217895,-4.66837045962979
2026-03-05,NTGY.MC,25.0,25.941066341400145,-3.6277087804145847
2026-03-05,COL.MC,5.349999904632568,5.544941773414612,-3.5156702585534494
2026-03-05,IAG.MC,4.400000095367432,4.449111137390137,-1.103839407606122
2026-03-05,MAP.MC,3.7780001163482666,3.7915319597721098,-0.3568964621006754
2026-03-05,SAB.MC,3.0850000381469727,3.095882045030594,-0.35149940228145216
